workflow_name,workflow_schedule
dbt_run_decode_instructions_orchestrator,"*/5 * * * *"
dbt_run_decode_logs_orchestrator,"*/15 * * * *"
dbt_run_incremental,"16,46 1-3,5-7,9-11,13-15,17-19,21-23 * * *"
dbt_run_incremental_intermediate,"46 */4 * * *"
dbt_run_incremental_non_core,"1 */4 * * *"
dbt_run_incremental_non_core_hourly,"1 1-3,5-7,9-11,13-15,17-19,21-23 * * *"
dbt_run_nft_compressed_mints_realtime,"*/15 * * * *"
dbt_run_nft_compressed_mints_sales_realtime,"55 * * * *"
dbt_run_streamline_blocks,"*/5 * * * *"
dbt_run_streamline_block_rewards,"*/15 * * * *"
dbt_run_streamline_block_txs,"*/6 * * * *"
dbt_run_stage_block_txs,"*/6 * * * *"
dbt_run_streamline_helius_cnft_metadata,"*/10 * * * *"
dbt_run_streamline_solscan_blocks,"7,27,47 * * * *"
dbt_test_tasks,"0,30 * * * *"
dbt_run_streamline_stake_accounts_snapshot,"22 1 * * 6"
